Date,Time,DayOfWeek,AreaID,AreaType,OccupancyCount,Event,FootTraffic,EmployeePreferences,Temperature,LightingLevel,NoiseLevel,SpaceCondition,SpecialEquipment,AreaSize_sqft,RoomCapacity,UtilizationLabel
2023-01-01,14:00,Sunday,A075,Private Office,14,Team Meeting,38,Flexible,23.2,Medium,Moderate,Under Maintenance,Whiteboard,709,50,Low
2023-01-01,15:00,Sunday,A023,Meeting Room,33,Team Meeting,64,Quiet,19.9,Dim,Moderate,Occupied,None,924,45,High
2023-01-01,16:00,Sunday,A005,Meeting Room,41,Client Visit,16,Flexible,23.5,Dim,Loud,Available,Projector,978,61,High
2023-01-01,17:00,Sunday,A026,Private Office,43,None,29,Quiet,25.5,Medium,Quiet,Under Maintenance,Whiteboard,428,58,High
2023-01-01,18:00,Sunday,A045,Private Office,48,Team Meeting,52,Collaborative,18.4,Medium,Quiet,Under Maintenance,Computer,214,56,High
2023-01-01,19:00,Sunday,A002,Private Office,39,Workshop,12,Quiet,20.6,Bright,Quiet,Available,Computer,375,50,High
2023-01-01,20:00,Sunday,A059,Open Space,10,Workshop,20,Collaborative,21.5,Medium,Loud,Under Maintenance,Whiteboard,587,52,Low
2023-01-01,21:00,Sunday,A059,Private Office,2,Workshop,18,Flexible,25.2,Medium,Quiet,Occupied,Computer,380,52,Low
2023-01-01,22:00,Sunday,A075,Open Space,5,None,52,Quiet,25.7,Dim,Loud,Under Maintenance,Whiteboard,374,50,Low
2023-01-01,23:00,Sunday,A084,Open Space,8,Team Meeting,18,Flexible,21.6,Bright,Quiet,Available,None,872,55,Low
2023-01-02,00:00,Monday,A057,Open Space,5,Client Visit,56,Quiet,24,Medium,Loud,Available,Whiteboard,942,66,Low
2023-01-02,01:00,Monday,A015,Meeting Room,8,Team Meeting,24,Quiet,22.3,Dim,Loud,Under Maintenance,None,818,68,Low
2023-01-02,02:00,Monday,A035,Private Office,38,None,85,Collaborative,22.3,Dim,Moderate,Under Maintenance,Computer,995,46,High
2023-01-02,03:00,Monday,A002,Open Space,30,Workshop,30,Quiet,20.2,Dim,Quiet,Available,Projector,427,50,Medium
2023-01-02,04:00,Monday,A005,Open Space,31,None,80,Flexible,19.7,Medium,Loud,Available,Whiteboard,310,61,Medium
2023-01-02,05:00,Monday,A098,Meeting Room,40,Client Visit,54,Quiet,20.3,Medium,Loud,Available,Computer,826,51,High
2023-01-02,06:00,Monday,A073,Open Space,49,Workshop,22,Quiet,22.5,Dim,Quiet,Occupied,Projector,651,48,High
2023-01-02,07:00,Monday,A059,Private Office,11,None,31,Collaborative,18.2,Medium,Moderate,Occupied,Whiteboard,125,52,Low
2023-01-02,08:00,Monday,A086,Open Space,7,Workshop,61,Collaborative,25.3,Medium,Moderate,Available,Computer,126,57,Low
2023-01-02,09:00,Monday,A078,Meeting Room,7,Client Visit,73,Quiet,19.3,Medium,Moderate,Occupied,Computer,801,59,Low
2023-01-02,10:00,Monday,A085,Private Office,49,None,9,Flexible,19.8,Medium,Loud,Under Maintenance,None,182,46,High
2023-01-02,11:00,Monday,A051,Open Space,27,Workshop,99,Collaborative,22.1,Medium,Quiet,Occupied,Whiteboard,995,54,Medium
2023-01-02,12:00,Monday,A001,Meeting Room,19,Team Meeting,71,Collaborative,23.7,Bright,Quiet,Available,None,781,57,Medium
2023-01-02,13:00,Monday,A093,Private Office,46,Client Visit,53,Flexible,18.8,Dim,Quiet,Available,Projector,512,47,High
2023-01-02,14:00,Monday,A098,Meeting Room,6,Team Meeting,51,Flexible,20.5,Dim,Moderate,Under Maintenance,None,266,51,Low
2023-01-02,15:00,Monday,A067,Meeting Room,10,Client Visit,19,Quiet,25.7,Dim,Loud,Under Maintenance,Projector,799,50,Low
2023-01-02,16:00,Monday,A093,Open Space,19,Team Meeting,31,Flexible,20.1,Medium,Quiet,Available,Computer,268,47,Medium
2023-01-02,17:00,Monday,A099,Private Office,15,None,13,Flexible,20.5,Dim,Moderate,Under Maintenance,Computer,900,54,Low
2023-01-02,18:00,Monday,A083,Private Office,3,Client Visit,49,Quiet,24.7,Dim,Moderate,Available,None,328,61,Low
2023-01-02,19:00,Monday,A059,Meeting Room,5,Client Visit,27,Flexible,18.4,Dim,Quiet,Available,Projector,708,52,Low
2023-01-02,20:00,Monday,A079,Private Office,21,Team Meeting,52,Quiet,21.7,Medium,Moderate,Under Maintenance,Computer,466,42,Medium
2023-01-02,21:00,Monday,A081,Meeting Room,25,None,23,Quiet,21,Medium,Moderate,Occupied,Projector,627,51,Medium
2023-01-02,22:00,Monday,A005,Meeting Room,2,Client Visit,78,Flexible,20.5,Dim,Quiet,Under Maintenance,None,890,61,Low
2023-01-02,23:00,Monday,A064,Open Space,40,Client Visit,21,Collaborative,20.3,Bright,Loud,Occupied,None,746,52,High
2023-01-03,00:00,Tuesday,A074,Meeting Room,41,Client Visit,29,Quiet,18.7,Bright,Quiet,Occupied,Computer,637,57,High
2023-01-03,01:00,Tuesday,A093,Private Office,13,Team Meeting,62,Quiet,20.5,Medium,Moderate,Occupied,Projector,963,47,Low
2023-01-03,02:00,Tuesday,A099,Open Space,10,Team Meeting,3,Collaborative,18.3,Medium,Quiet,Under Maintenance,Computer,623,54,Low
2023-01-03,03:00,Tuesday,A021,Private Office,17,None,76,Flexible,24.2,Dim,Loud,Available,Computer,171,60,Low
2023-01-03,04:00,Tuesday,A013,Private Office,11,Client Visit,58,Quiet,21.2,Bright,Loud,Occupied,Computer,744,47,Low
2023-01-03,05:00,Tuesday,A091,Meeting Room,22,Workshop,86,Quiet,21.6,Dim,Moderate,Under Maintenance,Whiteboard,205,58,Medium
2023-01-03,06:00,Tuesday,A020,Meeting Room,11,None,7,Quiet,25.1,Bright,Moderate,Occupied,Projector,831,63,Low
2023-01-03,07:00,Tuesday,A005,Open Space,12,Workshop,81,Quiet,23.3,Dim,Moderate,Available,Computer,984,61,Low
2023-01-03,08:00,Tuesday,A067,Open Space,24,Team Meeting,11,Quiet,18.1,Dim,Moderate,Under Maintenance,Computer,788,50,Medium
2023-01-03,09:00,Tuesday,A007,Open Space,44,Workshop,30,Flexible,25.5,Medium,Moderate,Available,Projector,381,52,High
2023-01-03,10:00,Tuesday,A079,Open Space,18,Workshop,77,Collaborative,19.9,Dim,Moderate,Available,Whiteboard,232,42,Medium
2023-01-03,11:00,Tuesday,A002,Meeting Room,45,None,33,Quiet,18.9,Medium,Loud,Under Maintenance,Whiteboard,633,50,High
2023-01-03,12:00,Tuesday,A003,Private Office,35,Client Visit,81,Quiet,24.1,Dim,Quiet,Under Maintenance,Whiteboard,368,53,High
2023-01-03,13:00,Tuesday,A099,Meeting Room,44,Team Meeting,97,Collaborative,22,Medium,Moderate,Occupied,Computer,511,54,High
2023-01-03,14:00,Tuesday,A088,Open Space,7,Client Visit,74,Flexible,21.5,Dim,Loud,Available,Whiteboard,772,62,Low
2023-01-03,15:00,Tuesday,A003,Open Space,28,Workshop,75,Collaborative,20,Medium,Quiet,Under Maintenance,Whiteboard,718,53,Medium
2023-01-03,16:00,Tuesday,A061,Private Office,31,Team Meeting,48,Collaborative,22.4,Medium,Moderate,Available,Projector,890,59,Medium
2023-01-03,17:00,Tuesday,A084,Meeting Room,43,Workshop,78,Quiet,20.2,Medium,Loud,Occupied,Whiteboard,964,55,High
2023-01-03,18:00,Tuesday,A090,Open Space,17,Team Meeting,56,Flexible,25.2,Bright,Moderate,Available,None,846,54,Low
2023-01-03,19:00,Tuesday,A047,Private Office,5,Client Visit,94,Quiet,19.7,Dim,Loud,Under Maintenance,Computer,117,53,Low
2023-01-03,20:00,Tuesday,A025,Private Office,17,Workshop,92,Quiet,25.1,Dim,Loud,Under Maintenance,Computer,853,57,Low
2023-01-03,21:00,Tuesday,A052,Meeting Room,18,Client Visit,25,Flexible,22.5,Bright,Quiet,Available,Projector,216,58,Low
2023-01-03,22:00,Tuesday,A016,Open Space,21,None,17,Collaborative,24.6,Dim,Loud,Available,Projector,897,58,Medium
2023-01-03,23:00,Tuesday,A002,Open Space,36,Team Meeting,95,Collaborative,23.7,Dim,Quiet,Available,Projector,893,50,High
2023-01-04,00:00,Wednesday,A020,Private Office,31,Client Visit,85,Quiet,23.6,Bright,Quiet,Under Maintenance,Computer,243,63,Medium
2023-01-04,01:00,Wednesday,A010,Meeting Room,40,None,37,Collaborative,20.6,Dim,Moderate,Under Maintenance,Projector,816,53,High
2023-01-04,02:00,Wednesday,A052,Open Space,2,Client Visit,80,Flexible,19.9,Dim,Loud,Under Maintenance,Whiteboard,650,58,Low
2023-01-04,03:00,Wednesday,A001,Private Office,27,None,86,Flexible,19.7,Medium,Loud,Available,Computer,765,57,Medium
2023-01-04,04:00,Wednesday,A026,Private Office,9,None,87,Quiet,24.9,Dim,Moderate,Under Maintenance,None,787,58,Low
2023-01-04,05:00,Wednesday,A045,Open Space,34,Client Visit,49,Flexible,24.6,Medium,Loud,Under Maintenance,Whiteboard,852,56,Medium
2023-01-04,06:00,Wednesday,A038,Meeting Room,28,Client Visit,7,Collaborative,21.5,Bright,Quiet,Available,Whiteboard,521,49,Medium
2023-01-04,07:00,Wednesday,A011,Private Office,14,Client Visit,40,Collaborative,19.1,Bright,Moderate,Occupied,Projector,997,57,Low
2023-01-04,08:00,Wednesday,A098,Private Office,32,Client Visit,5,Quiet,21.1,Bright,Quiet,Under Maintenance,Computer,468,51,Medium
2023-01-04,09:00,Wednesday,A044,Meeting Room,6,Team Meeting,68,Quiet,23,Bright,Moderate,Occupied,Computer,745,58,Low
2023-01-04,10:00,Wednesday,A063,Open Space,11,Workshop,43,Flexible,21.6,Bright,Moderate,Occupied,Computer,657,60,Low
2023-01-04,11:00,Wednesday,A060,Open Space,48,Workshop,63,Quiet,24.2,Dim,Moderate,Occupied,Projector,149,49,High
2023-01-04,12:00,Wednesday,A077,Private Office,29,None,28,Quiet,26,Medium,Moderate,Available,Computer,777,61,Medium
2023-01-04,13:00,Wednesday,A048,Open Space,20,Client Visit,27,Quiet,19.5,Dim,Loud,Occupied,None,205,53,Medium
2023-01-04,14:00,Wednesday,A064,Meeting Room,30,None,10,Flexible,21.7,Bright,Quiet,Available,None,315,52,Medium
2023-01-04,15:00,Wednesday,A021,Meeting Room,23,Team Meeting,64,Quiet,21.4,Bright,Loud,Occupied,Computer,757,60,Medium
2023-01-04,16:00,Wednesday,A054,Meeting Room,19,Workshop,18,Flexible,20.4,Medium,Loud,Occupied,Computer,524,59,Low
2023-01-04,17:00,Wednesday,A085,Open Space,36,Team Meeting,8,Quiet,19.6,Dim,Moderate,Under Maintenance,Whiteboard,171,46,High
2023-01-04,18:00,Wednesday,A072,Meeting Room,3,Workshop,26,Collaborative,18.5,Medium,Loud,Occupied,None,941,49,Low
2023-01-04,19:00,Wednesday,A002,Private Office,27,Team Meeting,33,Collaborative,25.1,Medium,Quiet,Available,Projector,884,50,Medium
2023-01-04,20:00,Wednesday,A052,Meeting Room,43,Workshop,43,Flexible,21.4,Bright,Quiet,Available,Whiteboard,858,58,High
2023-01-04,21:00,Wednesday,A061,Open Space,19,None,67,Quiet,22,Dim,Moderate,Under Maintenance,Projector,545,59,Low
2023-01-04,22:00,Wednesday,A011,Private Office,23,Client Visit,99,Flexible,25.3,Dim,Loud,Under Maintenance,None,285,57,Medium
2023-01-04,23:00,Wednesday,A043,Meeting Room,49,Workshop,81,Quiet,24.2,Medium,Loud,Available,Whiteboard,169,39,High
2023-01-05,00:00,Thursday,A096,Open Space,48,Team Meeting,14,Quiet,19,Bright,Moderate,Available,Projector,249,47,High
2023-01-05,01:00,Thursday,A039,Meeting Room,31,Team Meeting,50,Flexible,22.5,Dim,Moderate,Under Maintenance,Whiteboard,345,48,Medium
2023-01-05,02:00,Thursday,A054,Private Office,40,None,12,Collaborative,21.5,Medium,Quiet,Available,Computer,873,59,High
2023-01-05,03:00,Thursday,A047,Meeting Room,35,Team Meeting,82,Collaborative,24.4,Medium,Loud,Occupied,None,637,53,High
2023-01-05,04:00,Thursday,A030,Open Space,33,Client Visit,48,Flexible,23.8,Dim,Quiet,Occupied,Projector,751,50,Medium
2023-01-05,05:00,Thursday,A049,Private Office,35,None,69,Collaborative,23.5,Bright,Moderate,Occupied,Whiteboard,198,55,Medium
2023-01-05,06:00,Thursday,A057,Open Space,1,Team Meeting,55,Flexible,20.7,Dim,Loud,Under Maintenance,Computer,377,66,Low
2023-01-05,07:00,Thursday,A054,Open Space,14,Team Meeting,75,Quiet,24.4,Dim,Loud,Occupied,Computer,662,59,Low
2023-01-05,08:00,Thursday,A084,Open Space,33,Workshop,50,Collaborative,18.4,Bright,Quiet,Under Maintenance,Computer,762,55,Medium
2023-01-05,09:00,Thursday,A062,Open Space,35,Workshop,36,Quiet,19.3,Bright,Moderate,Occupied,Computer,554,55,Medium
2023-01-05,10:00,Thursday,A063,Open Space,5,None,16,Collaborative,20.7,Dim,Quiet,Available,Whiteboard,203,60,Low
2023-01-05,11:00,Thursday,A052,Meeting Room,38,None,57,Collaborative,18.6,Bright,Moderate,Available,Whiteboard,700,58,Medium
2023-01-05,12:00,Thursday,A054,Private Office,41,Workshop,86,Collaborative,19.9,Dim,Moderate,Under Maintenance,Projector,752,59,High
2023-01-05,13:00,Thursday,A068,Meeting Room,11,None,89,Flexible,24.6,Dim,Quiet,Under Maintenance,None,824,56,Low
2023-01-05,14:00,Thursday,A017,Meeting Room,2,Client Visit,28,Flexible,25.6,Bright,Loud,Occupied,None,332,61,Low
2023-01-05,15:00,Thursday,A001,Private Office,44,None,32,Collaborative,20.4,Bright,Loud,Available,None,493,57,High
2023-01-05,16:00,Thursday,A067,Open Space,17,None,59,Quiet,20.1,Medium,Moderate,Available,None,600,50,Medium
2023-01-05,17:00,Thursday,A001,Open Space,39,Client Visit,90,Flexible,20.2,Dim,Moderate,Occupied,Projector,794,57,High
2023-01-05,18:00,Thursday,A068,Open Space,20,Client Visit,88,Quiet,20.2,Medium,Quiet,Occupied,Projector,350,56,Medium
2023-01-05,19:00,Thursday,A076,Open Space,14,Client Visit,54,Flexible,18.3,Dim,Loud,Occupied,None,620,56,Low
2023-01-05,20:00,Thursday,A005,Meeting Room,32,Client Visit,9,Flexible,25.4,Dim,Loud,Available,None,178,61,Medium
2023-01-05,21:00,Thursday,A063,Open Space,34,Workshop,46,Quiet,19.7,Bright,Loud,Under Maintenance,Whiteboard,151,60,Medium
2023-01-05,22:00,Thursday,A054,Private Office,25,Workshop,22,Collaborative,21.4,Bright,Moderate,Available,Computer,997,59,Medium
2023-01-05,23:00,Thursday,A033,Private Office,7,Team Meeting,84,Flexible,18.1,Dim,Loud,Under Maintenance,Computer,880,58,Low
2023-01-06,00:00,Friday,A064,Private Office,35,Workshop,20,Quiet,24.9,Medium,Quiet,Available,Computer,325,52,High
2023-01-06,01:00,Friday,A002,Open Space,47,Client Visit,12,Quiet,23.8,Bright,Quiet,Occupied,Computer,150,50,High
2023-01-06,02:00,Friday,A029,Open Space,29,None,32,Quiet,25.6,Medium,Moderate,Occupied,Projector,285,44,Medium
2023-01-06,03:00,Friday,A041,Private Office,22,Client Visit,23,Collaborative,24.3,Dim,Quiet,Under Maintenance,Computer,133,55,Medium
2023-01-06,04:00,Friday,A092,Meeting Room,41,Client Visit,10,Collaborative,20.5,Medium,Moderate,Under Maintenance,Whiteboard,902,55,High
2023-01-06,05:00,Friday,A049,Meeting Room,43,Client Visit,16,Collaborative,20,Medium,Moderate,Available,Whiteboard,841,55,High
2023-01-06,06:00,Friday,A078,Private Office,13,Client Visit,67,Quiet,23.6,Medium,Loud,Available,Projector,230,59,Low
2023-01-06,07:00,Friday,A062,Open Space,13,Client Visit,46,Quiet,20.9,Dim,Quiet,Under Maintenance,Whiteboard,731,55,Low
2023-01-06,08:00,Friday,A063,Private Office,1,Workshop,24,Collaborative,22.5,Dim,Moderate,Under Maintenance,Computer,542,60,Low
2023-01-06,09:00,Friday,A023,Private Office,36,Team Meeting,93,Collaborative,18.1,Bright,Quiet,Available,Computer,937,45,High
2023-01-06,10:00,Friday,A075,Open Space,4,Workshop,72,Quiet,18.5,Medium,Quiet,Occupied,None,858,50,Low
2023-01-06,11:00,Friday,A090,Open Space,37,Client Visit,20,Flexible,22.3,Bright,Quiet,Under Maintenance,Whiteboard,531,54,High
2023-01-06,12:00,Friday,A034,Open Space,44,Team Meeting,83,Quiet,22.5,Dim,Loud,Occupied,Computer,803,57,High
2023-01-06,13:00,Friday,A094,Open Space,40,Workshop,82,Quiet,24,Medium,Loud,Under Maintenance,None,596,49,High
2023-01-06,14:00,Friday,A036,Meeting Room,46,Client Visit,82,Flexible,19.1,Bright,Moderate,Occupied,Computer,502,50,High
2023-01-06,15:00,Friday,A082,Meeting Room,13,None,11,Collaborative,22.1,Bright,Moderate,Available,Projector,422,56,Low
2023-01-06,16:00,Friday,A029,Meeting Room,38,None,36,Flexible,19.6,Dim,Moderate,Under Maintenance,None,309,44,High
2023-01-06,17:00,Friday,A034,Private Office,24,None,41,Quiet,18.7,Medium,Moderate,Under Maintenance,Computer,714,57,Medium
2023-01-06,18:00,Friday,A046,Private Office,19,None,16,Flexible,21.3,Medium,Quiet,Under Maintenance,Computer,428,62,Low
2023-01-06,19:00,Friday,A088,Open Space,1,None,47,Collaborative,19.3,Medium,Moderate,Under Maintenance,Computer,471,62,Low
2023-01-06,20:00,Friday,A036,Open Space,38,Client Visit,27,Collaborative,19.8,Medium,Loud,Available,None,559,50,High
2023-01-06,21:00,Friday,A015,Meeting Room,5,Client Visit,40,Quiet,20.5,Medium,Loud,Under Maintenance,None,232,68,Low
2023-01-06,22:00,Friday,A015,Private Office,16,Team Meeting,98,Flexible,20.1,Medium,Loud,Available,Computer,934,68,Low
2023-01-06,23:00,Friday,A062,Meeting Room,24,Client Visit,46,Flexible,18.7,Bright,Moderate,Under Maintenance,Whiteboard,750,55,Medium
2023-01-07,00:00,Saturday,A051,Meeting Room,27,Team Meeting,17,Quiet,18.7,Dim,Moderate,Available,Computer,220,54,Medium
2023-01-07,01:00,Saturday,A088,Meeting Room,1,None,77,Quiet,19.5,Bright,Loud,Under Maintenance,Whiteboard,705,62,Low
2023-01-07,02:00,Saturday,A075,Private Office,34,Client Visit,98,Flexible,18.4,Bright,Loud,Occupied,Computer,551,50,High
2023-01-07,03:00,Saturday,A070,Private Office,36,Team Meeting,70,Quiet,23,Bright,Moderate,Occupied,Whiteboard,228,50,High
2023-01-07,04:00,Saturday,A039,Meeting Room,4,None,12,Collaborative,20.3,Dim,Quiet,Under Maintenance,Computer,190,48,Low
2023-01-07,05:00,Saturday,A032,Meeting Room,0,Team Meeting,81,Flexible,20.2,Dim,Quiet,Under Maintenance,Computer,703,60,Low
2023-01-07,06:00,Saturday,A013,Meeting Room,39,None,12,Collaborative,20.7,Dim,Loud,Occupied,Whiteboard,674,47,High
2023-01-07,07:00,Saturday,A098,Private Office,11,Client Visit,99,Collaborative,23.3,Bright,Moderate,Under Maintenance,None,128,51,Low
2023-01-07,08:00,Saturday,A057,Open Space,35,Client Visit,30,Quiet,25,Medium,Loud,Occupied,Whiteboard,821,66,Medium
2023-01-07,09:00,Saturday,A036,Open Space,44,Client Visit,1,Quiet,24.1,Dim,Moderate,Occupied,None,623,50,High
2023-01-07,10:00,Saturday,A085,Meeting Room,22,None,15,Flexible,23.8,Bright,Loud,Available,None,432,46,Medium
2023-01-07,11:00,Saturday,A095,Meeting Room,46,Workshop,8,Collaborative,21.9,Dim,Loud,Under Maintenance,Whiteboard,396,47,High
2023-01-07,12:00,Saturday,A037,Open Space,30,Team Meeting,72,Flexible,23.6,Dim,Loud,Available,Whiteboard,229,52,Medium
2023-01-07,13:00,Saturday,A051,Open Space,10,Team Meeting,37,Collaborative,22.4,Bright,Quiet,Occupied,None,392,54,Low
2023-01-07,14:00,Saturday,A092,Meeting Room,9,None,74,Flexible,19.7,Medium,Moderate,Available,Computer,272,55,Low
2023-01-07,15:00,Saturday,A089,Private Office,2,Team Meeting,53,Quiet,19.7,Bright,Quiet,Available,Computer,819,57,Low
2023-01-07,16:00,Saturday,A090,Meeting Room,13,Client Visit,55,Collaborative,20.4,Bright,Quiet,Under Maintenance,Projector,123,54,Low
2023-01-07,17:00,Saturday,A060,Open Space,15,Client Visit,85,Flexible,25.3,Bright,Loud,Occupied,Whiteboard,198,49,Low
2023-01-07,18:00,Saturday,A008,Meeting Room,9,Workshop,96,Quiet,22.4,Medium,Loud,Under Maintenance,Projector,505,58,Low
2023-01-07,19:00,Saturday,A082,Meeting Room,28,None,99,Quiet,23.9,Medium,Loud,Under Maintenance,Computer,455,56,Medium
2023-01-07,20:00,Saturday,A090,Meeting Room,9,Workshop,86,Quiet,20.8,Bright,Moderate,Under Maintenance,Computer,238,54,Low
2023-01-07,21:00,Saturday,A040,Private Office,11,Team Meeting,44,Quiet,21.3,Dim,Loud,Occupied,Whiteboard,602,59,Low
2023-01-07,22:00,Saturday,A005,Open Space,29,Workshop,33,Quiet,19,Dim,Moderate,Available,None,925,61,Medium
2023-01-07,23:00,Saturday,A016,Meeting Room,40,Workshop,8,Flexible,19.4,Medium,Loud,Under Maintenance,Computer,273,58,High
2023-01-08,00:00,Sunday,A055,Meeting Room,0,Team Meeting,87,Flexible,24.6,Medium,Loud,Under Maintenance,Computer,128,54,Low
2023-01-08,01:00,Sunday,A062,Private Office,4,Workshop,7,Collaborative,22.7,Dim,Quiet,Occupied,Projector,595,55,Low
2023-01-08,02:00,Sunday,A006,Open Space,19,Client Visit,6,Quiet,20.7,Bright,Moderate,Under Maintenance,Whiteboard,754,46,Medium
2023-01-08,03:00,Sunday,A037,Meeting Room,7,None,35,Quiet,24.4,Medium,Moderate,Occupied,Whiteboard,927,52,Low
2023-01-08,04:00,Sunday,A051,Open Space,42,Client Visit,17,Quiet,20,Dim,Moderate,Occupied,Projector,450,54,High
2023-01-08,05:00,Sunday,A006,Open Space,11,Team Meeting,2,Flexible,25.8,Bright,Loud,Under Maintenance,Projector,653,46,Low
2023-01-08,06:00,Sunday,A062,Meeting Room,0,Client Visit,27,Quiet,20.8,Dim,Loud,Under Maintenance,Computer,398,55,Low
2023-01-08,07:00,Sunday,A001,Open Space,19,Workshop,69,Collaborative,20.7,Dim,Loud,Occupied,Computer,819,57,Medium
2023-01-08,08:00,Sunday,A077,Open Space,27,Client Visit,43,Collaborative,20.5,Bright,Quiet,Under Maintenance,Computer,941,61,Medium
2023-01-08,09:00,Sunday,A029,Private Office,42,None,20,Flexible,19,Medium,Moderate,Available,Projector,291,44,High
2023-01-08,10:00,Sunday,A068,Private Office,36,None,27,Quiet,18.9,Bright,Quiet,Occupied,Projector,771,56,Medium
2023-01-08,11:00,Sunday,A040,Open Space,46,Team Meeting,53,Collaborative,23.2,Dim,Quiet,Under Maintenance,Computer,163,59,High
2023-01-08,12:00,Sunday,A038,Open Space,36,None,53,Collaborative,25,Bright,Moderate,Occupied,Projector,854,49,High
2023-01-08,13:00,Sunday,A088,Open Space,11,Team Meeting,64,Collaborative,24.3,Medium,Moderate,Occupied,Whiteboard,869,62,Low
2023-01-08,14:00,Sunday,A033,Private Office,36,Client Visit,99,Collaborative,19.1,Bright,Moderate,Available,None,763,58,Medium
2023-01-08,15:00,Sunday,A045,Private Office,48,Client Visit,20,Collaborative,22.4,Medium,Quiet,Occupied,Projector,314,56,High
2023-01-08,16:00,Sunday,A076,Meeting Room,48,Client Visit,98,Quiet,18.8,Dim,Moderate,Occupied,Whiteboard,933,56,High
2023-01-08,17:00,Sunday,A020,Open Space,43,Workshop,12,Flexible,18.4,Medium,Quiet,Occupied,Computer,265,63,High
2023-01-08,18:00,Sunday,A014,Private Office,27,Team Meeting,56,Quiet,23.3,Dim,Moderate,Under Maintenance,Projector,642,51,Medium
2023-01-08,19:00,Sunday,A088,Open Space,46,Workshop,48,Quiet,22.3,Medium,Loud,Available,Whiteboard,982,62,High
2023-01-08,20:00,Sunday,A054,Meeting Room,14,Workshop,53,Quiet,18.7,Bright,Quiet,Under Maintenance,Whiteboard,331,59,Low
2023-01-08,21:00,Sunday,A049,Meeting Room,5,Client Visit,9,Collaborative,18.3,Medium,Loud,Available,Whiteboard,893,55,Low
2023-01-08,22:00,Sunday,A079,Meeting Room,43,Workshop,52,Collaborative,25.9,Dim,Loud,Under Maintenance,None,640,42,High
2023-01-08,23:00,Sunday,A072,Open Space,19,Client Visit,43,Collaborative,18.2,Dim,Moderate,Under Maintenance,Projector,294,49,Medium
2023-01-09,00:00,Monday,A081,Meeting Room,49,Workshop,46,Collaborative,21.6,Dim,Quiet,Available,Computer,605,51,High
2023-01-09,01:00,Monday,A027,Meeting Room,13,Team Meeting,52,Flexible,22,Dim,Quiet,Available,Whiteboard,433,54,Low
2023-01-09,02:00,Monday,A058,Private Office,1,Client Visit,73,Quiet,18.9,Dim,Quiet,Under Maintenance,Projector,867,65,Low
2023-01-09,03:00,Monday,A070,Open Space,8,None,45,Collaborative,19.4,Medium,Loud,Under Maintenance,Computer,892,50,Low
2023-01-09,04:00,Monday,A053,Open Space,36,Client Visit,12,Quiet,20.8,Bright,Quiet,Under Maintenance,Computer,403,44,High
2023-01-09,05:00,Monday,A090,Meeting Room,19,None,36,Quiet,24.1,Bright,Moderate,Under Maintenance,Whiteboard,932,54,Medium
2023-01-09,06:00,Monday,A049,Private Office,25,Client Visit,23,Flexible,22.1,Medium,Moderate,Available,Computer,536,55,Medium
2023-01-09,07:00,Monday,A046,Private Office,28,Client Visit,1,Quiet,23.1,Medium,Moderate,Under Maintenance,Computer,422,62,Medium
2023-01-09,08:00,Monday,A022,Meeting Room,0,Team Meeting,85,Quiet,25.9,Medium,Quiet,Under Maintenance,None,601,65,Low
